Année,Mois,URL
2015,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2015_a1656.html
2016,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2016_a1670.html
2016,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2016_a1676.html
2016,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2016_a1703.html
2016,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2016_a1722.html
2016,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2016_a1759.html
2016,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2016_a1780.html
2016,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2016_a1787.html
2016,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2016_a1799.html
2016,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2016_a1816.html
2016,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2016_a1827.html
2016,de Novembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2016_a1840.html
2016,de Décembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Decembre-2016_a1864.html
2017,de Janvier,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2017_a1883.html
2017,de Février,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2017_a1890.html
2017,de Mars,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2017_a1902.html
2017,d'Avril,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2017_a1919.html
2017,de Mai,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2017_a1952.html
2017,de Juin,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-juin-2017_a1975.html
2017,de Juillet,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2017_a2004.html
2017,d'Août,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2017_a2012.html
2017,de Septembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2017_a2031.html
2017,d'Octobre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2017_a2050.html
2017,de Novembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2017_a2074.html
2017,de Décembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-de-l-annee-2017_a2095.html
2018,de Janvier,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2018_a2113.html
2018,de Février,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2018_a2131.html
2018,de Mars,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2018_a2147.html
2018,d'Avril,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2018_a2163.html
2018,de Mai,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2018_a2182.html
2018,de Juin,https://www.hcp.ma/Hausse-de-0-2-de-l-indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2018-par-rapport-au-mois-precedent_a2195.html
2018,de Juillet,https://www.hcp.ma/Baisse-de-09-de-l-indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2018-par-rapport-au-mois-precedent_a2202.html
2018,d'Août,https://www.hcp.ma/Baisse-de-01-de-l-indice-des-prix-a-la-consommation-du-mois-d-aout-2018-par-rapport-au-mois-precedent_a2223.html
2018,de Septembre,https://www.hcp.ma/Les-Brefs-du-Plan-N-03-12-Septembre-2018_a2213.html
2018,d'Octobre,https://www.hcp.ma/Baisse-de-01-de-l-indice-des-prix-a-la-consommation-du-mois-d-octobre-2018-par-rapport-au-mois-precedent-Une-inflation_a2252.html
2018,de Novembre,https://www.hcp.ma/Hausse-de-07-de-l-indice-des-prix-a-la-consommation-du-mois-de-novembre-2018-par-rapport-au-mois-precedent-Une_a2264.html
2018,de Décembre,https://www.hcp.ma/Baisse-de-07-de-l-indice-des-prix-a-la-consommation-du-mois-de-decembre-2018-par-rapport-au-mois-precedent-Une_a2279.html
2019,de Janvier,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2019_a2294.html
2019,de Février,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2019_a2303.html
2019,de Mars,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2019_a2318.html
2019,d'Avril,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2019_a2326.html
2019,de Mai,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2019_a2342.html
2019,de Juin,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2019_a2357.html
2019,de Juillet,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2019_a2366.html
2019,d'Août,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2019_a2372.html
2019,de Septembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2019_a2388.html
2019,d'Octobre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2019_a2407.html
2019,de Novembre,https://www.hcp.ma/L-indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2019_a2425.html
